Iteration,new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
290,2,0,0,1,0,0,4096,8,131760.6
291,3,1,1,0,0,40,2,2,13092.0
292,2,1,1,0,0,100,8,4,9071.6
293,4,1,1,0,0,90,16,6,20155.8
294,2,1,1,0,0,20,4096,0,5020.6
295,2,1,1,0,0,90,1024,4,4299.2
296,1,0,0,1,0,70,128,4,11846.8
297,2,1,1,0,0,90,4096,10,100766.4
298,5,1,1,0,0,30,512,4,9127.6
299,2,1,1,0,0,80,4,4,11912.4
