Iteration,ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
185,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,76760.8
186,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
187,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,59726.6
188,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,63240.8
189,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,60261.2
190,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,77516.2
191,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
192,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,59726.6
193,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,63240.8
194,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,60135.2
195,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,77477.8
196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
198,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,69651.4
199,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,60135.2
200,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,75922.8
201,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,55781.8
202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
203,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,69651.4
204,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,60135.2
205,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,75922.8
206,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,55781.8
207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
208,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63592.8
209,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,66546.4
210,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,72458.4
211,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,58857.0
212,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
213,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63592.8
