Iteration,spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
227,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009768026466149145
228,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.000984116055651014
229,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009490405779741505
230,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009906729163388541
231,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0010094816315516842
232,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.001016094244229122
233,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009934791933071281
234,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0010018431045017164
235,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009738658879767506
236,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0010039643064886053
237,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009874194990062504
238,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009985602684535887
239,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009952228827500354
240,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009991912178807035
241,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0009910510772543509
242,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009756242987080173
243,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.00098473439570806
244,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0.006937801293039956
245,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.000999019032744683
246,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009986463408048346
247,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.0009960679124056725
248,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.9920473138429557
249,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.000992964248928944
250,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0009987135690101277
251,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.0009882580500598511
252,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0.02979315801555633
253,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0.006966089446995024
254,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009815007810635113
255,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.0009874538911433352
256,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009850355994045245
257,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.9920613148503682
258,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0010005235400667612
259,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0009614239419971802
260,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009873956962218335
261,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0.02978709271838954
262,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0.006952925781795752
263,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009986964345158511
264,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.000986241698152027
265,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0009849398755229159
266,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0.9920513372964104
267,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009881821566901118
268,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0009889664761569702
269,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009797460190658748
270,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0.02778751442301321
271,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0.004959049534548009
272,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0010169036125495612
273,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.000979670963988581
274,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0010076928643563032
275,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.9920625850348902
276,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.000991768941869664
277,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0010005976843761462
278,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0009974260493477618
279,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.0009769984211549978
280,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0.006968633637912269
281,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0009801575458726988
282,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0009878200655405356
